category,comments,descriptions,difficulty_rating,endDate,endTime,experiment_id,image,is_data_visualization,languages,minivlat_answers,minivlat_time,prolific_id,reaction_times,self_understanding,startDate,startTime,timeSpent,topic,trial_number,desc_type,minivlat_score,num_words,caption,alttext,char_count,num_words_caption,num_words_alttext,desc_caption_jaccard,desc_alttext_jaccard,desc_caption_sbert,desc_alttext_sbert,jaccard_alttext_caption,sbert_alttext_caption,question1,question10,question11,question12,question2,question3,question4,question5,question6,question7,question8,question9
Electricity sector in Germany / Electricity prices,,"The data is presented as a pie chart representing the components of the German Power Price for the average household consumers in 2020, totaling 31,47 cent per kWh. The grid charges are the highest value, at 25,1%. Power generation or acquisition, and Sales is 22,4% of the price. Renewable surcharge is 21,5%. Value-added tax is 16%. Electricity tax is 6,5%. Concession fee of 1.66 Cent is 5,5%. Other levies make up the remaining 3,2%. Overall, taxes, levies, and surcharges make up 53% of the total price.",5,Sun Nov 26 2023 14:25:36 GMT-0800 (Pacific Standard Time),1701037536533,1,prolific/train-0-395010.png,True,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.613166666666666,5ed731509a2ae019f3f4f6ea,386103,Well,Sun Nov 26 2023 14:02:00 GMT-0800 (Pacific Standard Time),1701036120628,23.598416666666665,Electricity sector in Germany,1,first,11,109,Components of the German Electricity Price for Households Source,Components Electricity Price Germany,508,9,4,0.4791666666666667,0.3829787234042553,0.7470686435699463,0.674909770488739,0.0,0.8207790851593018,1,1,1,1,1,1,1,1,1,0,1,1
Nanortalik / Population,,"The bar graph illustrates the rise and fall of population numbers of Nanortalik from 1991-2010, according to Statistics Greenland. The populations per year are as follows. 1991:1441, 1992:1483, 1993:1499, 1994:1508, 1995:1564, 1996:1527, 1997:1541, 1998:1506, 1999:1516, 2000:1538, 2001:1506, 2002:1544, 2003:1549, 2004:1529, 2005:1509, 2006:1476, 2007:1450, 2008:1445, 2009:1430, 2010:1448. The year 1995 saw the highest population, and the year 2009 saw the lowest.",4,Sun Nov 26 2023 14:25:36 GMT-0800 (Pacific Standard Time),1701037536533,1,prolific/train-0-283458.png,True,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.613166666666666,5ed731509a2ae019f3f4f6ea,309536,Well,Sun Nov 26 2023 14:02:00 GMT-0800 (Pacific Standard Time),1701036120628,23.598416666666665,Nanortalik,2,first,11,85,"Nanortalik population growth dynamics, 1991-2010. Source: Statistics Greenland[12]",Nanortalik population dynamics,467,14,3,0.7380952380952381,0.425,0.6895676851272583,0.5297656059265137,0.0,0.6886775493621826,1,1,1,1,1,1,1,1,1,0,1,1
Nutaarmiut / Population,,Annual bar graph of the population,1,Sun Nov 26 2023 17:27:19 GMT-0500 (Eastern Standard Time),1701037639742,1,prolific/train-0-42178.png,True,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.637583333333334,652ea878c4acb0163198c4b1,79173,Moderate,Sun Nov 26 2023 17:08:33 GMT-0500 (Eastern Standard Time),1701036513128,18.7769,Nutaarmiut,0,first,11,6,Nutaarmiut population growth dynamics in the last two decades. Source: Statistics Greenland[2],Nutaarmiut population dynamics,34,17,3,0.43333333333333335,0.45454545454545453,0.28300875425338745,0.3519662022590637,0.0,0.7322562336921692,1,1,1,1,1,1,1,1,1,0,1,1
Federal political financing in Canada / Private funding / Cost of fundraising,,3-d bar graph showing fundraising expenses compared to contributions for each party individually and combined,1,Sun Nov 26 2023 17:27:19 GMT-0500 (Eastern Standard Time),1701037639742,1,prolific/train-0-14152.png,True,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.637583333333334,652ea878c4acb0163198c4b1,135306,Moderate,Sun Nov 26 2023 17:08:33 GMT-0500 (Eastern Standard Time),1701036513128,18.7769,Federal political financing in Canada,1,first,11,15,Party-level fundraising costs vs. party-level contributions raised at top three Canadian federal parties in 2009 (source: Elections Canada[4]),Party-level fundraising costs vs. party-level contributions raised at top three Canadian federal parties in 2009,109,24,15,0.5526315789473685,0.6774193548387096,0.6745352745056152,0.672389030456543,0.0,0.9816362857818604,1,1,1,1,1,1,1,1,1,0,1,1
Ernie Toshack with the Australian cricket team in England in 1948 / Role,,"From May to Aug, runs scored per inning is shown. Highest being in June & July. ",5,Sun Nov 26 2023 17:27:19 GMT-0500 (Eastern Standard Time),1701037639742,1,prolific/train-0-24640.png,True,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6.637583333333334,652ea878c4acb0163198c4b1,289113,Moderate,Sun Nov 26 2023 17:08:33 GMT-0500 (Eastern Standard Time),1701036513128,18.7769,Ernie Toshack with the Australian cricket team in England in 1948,2,first,11,19,"A chart showing Toshack's batting performance during the tour. The runs scored per innings are represented by the bars, with the red bars being Test innings and the pink bars being other first-class innings. The blue line is the average of the five most recent innings and the dots indicate not outs.[10]","Toshack started the season with five first-class innings outside the Tests, and all were less than 10 and four were less than five, none were not out. He then scored two scores between 15 and 20 in the Tests, with a score of four outside the Tests in between. After scores of 1 and zero not out in the next two tour matches, he scored 12 not out in his third and final Test innings. He then finished with two in a tour match. All of his efforts beyond ten were in Tests, and he passed ten in all three Test innings, two of these being not out.",80,60,119,0.6052631578947368,0.6153846153846154,0.48153817653656006,0.2532080411911011,0.0,0.5854800939559937,1,1,1,1,1,1,1,1,1,0,1,1
Green marketing / Adoptability / LOHAS,,% of general population in NMI defined consumer segments. 26% conventionals. 19% drifters. 19% naturalites. 19% unconcerned. 17% lohas.,2,Sun Nov 26 2023 16:28:55 GMT-0600 (Central Standard Time),1701037735511,1,prolific/train-0-480642.png,True,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$7.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",4.423433333333333,610ecbc7f8f3b3810cd29a04,271323,Moderate,Sun Nov 26 2023 16:12:40 GMT-0600 (Central Standard Time),1701036760287,16.253733333333333,Green marketing,0,first,11,30,The distribution of the different types of LOHAS.[26],The distribution of the different types of LOHAS.,135,12,9,0.41025641025641024,0.3783783783783784,0.3192741870880127,0.3139550983905792,0.0,0.9695470929145813,1,1,1,1,1,1,1,1,1,0,1,1
Normally distributed and uncorrelated does not imply independent / Examples / A symmetric example,,Joint range of X {\displaystyle X} and Y {\displaystyle Y} . Darker indicates higher value of the density function. Creating an asymmetrical ‘X’ on an XY axis chart.,5,Sun Nov 26 2023 16:28:55 GMT-0600 (Central Standard Time),1701037735511,1,prolific/train-0-236684.png,True,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$7.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",4.423433333333333,610ecbc7f8f3b3810cd29a04,136331,Moderate,Sun Nov 26 2023 16:12:40 GMT-0600 (Central Standard Time),1701036760287,16.253733333333333,Normally distributed and uncorrelated does not imply independent,1,first,11,36,"Joint range of
  
    
      
        X
      
    
    {\displaystyle X}
  
 and
  
    
      
        Y
      
    
    {\displaystyle Y}
  
. Darker indicates higher value of the density function.","Two normally distributed, uncorrelated but dependent variables.",165,24,9,0.8235294117647058,0.4864864864864865,0.9035309553146362,0.25732436776161194,0.0,0.21613773703575134,1,1,1,1,1,1,1,1,1,0,1,1
Bishop Auckland / Demography,,"The comparison between ‘England and Wales’, ‘County of Durham’, and ‘Bishop Auckland’. The percent of population with Age groups on an XY axis chart.",3,Sun Nov 26 2023 16:28:55 GMT-0600 (Central Standard Time),1701037735511,1,prolific/train-0-245143.png,True,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$7.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",4.423433333333333,610ecbc7f8f3b3810cd29a04,150316,Moderate,Sun Nov 26 2023 16:12:40 GMT-0600 (Central Standard Time),1701036760287,16.253733333333333,Bishop Auckland,2,first,11,34,"""Population pyramid"" showing the breakdown of the Bishop Auckland's population vs Age compared with the figures for County Durham and England and Wales. Source:[9]","A bar chart comparing dividing the population into 5-year intervals, and comparing the percentage of the population of Bishop Auckland made up by each interval with the figures for England and Wales and County Durham. The graph shows that the towns population is broadly in line with that nationally, with the exception that Bishop Auckland has a much lower proportion of people aged 20 to 24 years.",149,32,71,0.6444444444444445,0.7619047619047619,0.8164668083190918,0.7991539239883423,0.0,0.796863317489624,1,1,1,1,1,1,1,1,1,0,1,1
Great Southern Group / Fall,"We were raised with both languages being spoken, to prepare us for school, and to keep culture tradition going.","From 1999 through 2002, total assets and net assets remained steady, with a sharp increase beginning in 2003 leading into 2009 where it has leveled off and peaked at a 900% increase.",3,Sun Nov 26 2023 16:31:53 GMT-0600 (Central Standard Time),1701037913994,1,prolific/train-0-105181.jpg,True,"English, Spanish.","{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'Skip', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5.09225,63e51c6b462cfa8a42eba8b2,126501,Moderate,Sun Nov 26 2023 16:14:44 GMT-0600 (Central Standard Time),1701036884839,17.152583333333332,Great Southern Group,0,first,9,36,"Great Southern Group's assets. Net assets were ultimately limited by the company's ""unsustainable levels"" of debt.[4]","area graph with years on the x-axis, ranging from 1999 to 2008, and thousands of dollars on the y-axis. Two areas are shown: net assets climb until 2005 then stay at a similar level to 2008, below the 800 million dollar line; gross assets climb above net assets and are still increasing in 2008, where they are near the 1.8 billion dollar line",182,25,70,0.55,0.717948717948718,0.3528643548488617,0.5181388854980469,0.0,0.3171207308769226,1,1,0,0,1,1,1,1,1,0,1,1
Anatomy of an Epidemic / Synopsis / Magic bullets,"We were raised with both languages being spoken, to prepare us for school, and to keep culture tradition going.","Both SSDI, SSI recipients with mental disability has continued to increase at a steady pace with Prozac introduced, with 2003 Total number of SSI and SDI payments to disabled mentally ill recepients peaking at 6,000,000.",5,Sun Nov 26 2023 16:31:53 GMT-0600 (Central Standard Time),1701037913994,1,prolific/train-0-29695.png,True,"English, Spanish.","{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'Skip', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5.09225,63e51c6b462cfa8a42eba8b2,252775,Moderate,Sun Nov 26 2023 16:14:44 GMT-0600 (Central Standard Time),1701036884839,17.152583333333332,Anatomy of an Epidemic,1,first,9,38,"Number of Americans who received SSDI and SSI for mental disability in 1987 (blue) when Eli Lilly and Company introduced the antidepressive drug Prozac, compared to 2003 (red).",Chart showing increase (in red) over baseline (in blue) between 1987 and 2003,220,34,17,0.6595744680851063,0.46511627906976744,0.6048475503921509,0.11453934013843536,0.0,0.06947505474090576,1,1,0,0,1,1,1,1,1,0,1,1
Cloture / United States / Procedure,"We were raised with both languages being spoken, to prepare us for school, and to keep culture tradition going.","Cloture motions, votes on cloture and cloture invoked remained steady from 1917 with slight increases in 1925/1926, and 1945/1946, 20 years later, before leveling off to lowest numbers in 1955/1956. Cloture motions beginning in 1967 throughout 1974 increased sharply, following votes on cloture, and lastly following a similar pattern were cloture invoked. Which all 3 continued to increase in similar patterns following one another in the same pattern throughout until sharply peaking in 2007/2008, before tapering off.",4,Sun Nov 26 2023 16:31:53 GMT-0600 (Central Standard Time),1701037913994,1,prolific/train-0-76637.png,True,"English, Spanish.","{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'Skip', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",5.09225,63e51c6b462cfa8a42eba8b2,170870,Moderate,Sun Nov 26 2023 16:14:44 GMT-0600 (Central Standard Time),1701036884839,17.152583333333332,Cloture,2,first,9,87,"Cloture voting in the United States Senate , 1917−2014.[43]","Number of cloture motions filed, voted on, and invoked by the U.S. Senate, 1917−2014.",520,13,18,0.5813953488372093,0.6666666666666666,0.5936933755874634,0.6522400975227356,0.0,0.7984388470649719,1,1,0,0,1,1,1,1,1,0,1,1
"Safety of electronic cigarettes / Fires, explosions, and other battery-related malfunctions",,Cigarette sales have increased dramatically in recent years; a 2016 survey found that the number of e-cigarettes sold nearly reached the number of explosions.,3,Sun Nov 26 2023 16:35:43 GMT-0600 (Central Standard Time),1701038143018,1,prolific/train-0-407025.png,True,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 4', 'question12': 'Skip', 'question2': 'USA', 'question3': '30-40 km', 'question4': 'True', 'question5': '25.3%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",11.62805,5be8a1701664db0001d804f8,142300,Little,Sun Nov 26 2023 16:10:37 GMT-0600 (Central Standard Time),1701036637437,25.093016666666667,Safety of electronic cigarettes,0,first,7,26,Graphic from a July 2016 United States Fire Administration (USFA) report entitled Electronic Cigarette Fires and Explosions in the United States 2009 – 2016.[326] There has been an increase in the number of severe and moderate injuries resulting from e-cigarette explosions and fires since 2014.[326] The USFA noted that this appears to correlate well with the e-cigarette sales trend.[326],Graphic from a July 2016 United States Fire Administration (USFA) report entitled Electronic Cigarette Fires and Explosions in the United States 2009 – 2016. There has been an increase in the number of severe and moderate injuries resulting from e-cigarette explosions and fires since 2014. The USFA noted that this appears to correlate well with the e-cigarette sales trend.,158,73,64,0.6041666666666666,0.6444444444444445,0.6955771446228027,0.665899395942688,0.0,0.982559084892273,1,1,0,0,0,1,1,0,1,0,1,1
European debt crisis / Evolution of the crisis / Portugal,,Portugal's debt is nearly one and a half times greater than that of the rest of Europe.,3,Sun Nov 26 2023 16:35:43 GMT-0600 (Central Standard Time),1701038143018,1,prolific/train-0-191651.png,True,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 4', 'question12': 'Skip', 'question2': 'USA', 'question3': '30-40 km', 'question4': 'True', 'question5': '25.3%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",11.62805,5be8a1701664db0001d804f8,114929,Little,Sun Nov 26 2023 16:10:37 GMT-0600 (Central Standard Time),1701036637437,25.093016666666667,European debt crisis,1,first,7,19,Debt of Portugal compared to eurozone average since 1999,Portuguese debt compared to eurozone average,87,9,6,0.6206896551724138,0.5769230769230769,0.7578625679016113,0.7197715044021606,0.0,0.9336457252502441,1,1,0,0,0,1,1,0,1,0,1,1
