,category,desc_type,comments,descriptions,difficulty_rating,endTime,experiment_id,image,is_data_visualization,languages,minivlat_answers,prolific_id,reaction_times,self_understanding,startDate,startTime,timeSpent,topic,trial_number,endDate,minivlat_score,num_words,caption,alttext,char_count,num_words_caption,num_words_alttext,desc_caption_jaccard,desc_caption_sbert,desc_alttext_sbert,sbert_alttext_caption,question1,question10,question11,question12,question2,question3,question4,question5,question6,question7,question8,question9
10,Cloture / United States / Procedure,first,,"The data states that cloture invoking, vontes on cloture, & cloture motions filed all peaked then dropped from 2007-2008",1,1686188580838,1,prolific/train-0-76637.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",603ee4c2bd61ee1a08fd6a8a,99548,Very Well,Wed Jun 07 2023 20:32:45 GMT-0500 (Central Daylight Time),1686187965206,10.2605333333333,Cloture,0,,10,21,"Cloture voting in the United States Senate , 1917−2014.[43]","Number of cloture motions filed, voted on, and invoked by the U.S. Senate, 1917−2014.",120,13,18,0.48717948717948700,0.38446635007858300,0.5006698369979860,0.7685588598251340,1,1,0,1,1,1,1,1,1,0,1,1
11,Ernie Toshack with the Australian cricket team in England in 1948 / Role,first,,In this visualization Ernie TOshak's batting performance in the 1948 England tour got very close to 20 late July,3,1686188580838,1,prolific/train-0-24640.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",603ee4c2bd61ee1a08fd6a8a,75649,Very Well,Wed Jun 07 2023 20:32:45 GMT-0500 (Central Daylight Time),1686187965206,10.2605333333333,Ernie Toshack with the Australian cricket team in England in 1948,1,,10,20,"A chart showing Toshack's batting performance during the tour. The runs scored per innings are represented by the bars, with the red bars being Test innings and the pink bars being other first-class innings. The blue line is the average of the five most recent innings and the dots indicate not outs.[10]","Toshack started the season with five first-class innings outside the Tests, and all were less than 10 and four were less than five, none were not out. He then scored two scores between 15 and 20 in the Tests, with a score of four outside the Tests in between. After scores of 1 and zero not out in the next two tour matches, he scored 12 not out in his third and final Test innings. He then finished with two in a tour match. All of his efforts beyond ten were in Tests, and he passed ten in all three Test innings, two of these being not out.",112,60,119,0.6190476190476190,0.6118217706680300,0.6445283889770510,0.6793749332427980,1,1,0,1,1,1,1,1,1,0,1,1
12,History of Georgetown University / Early growth / Early student life,first,,"All three schooling options on this visualization (Academy/College, Medical School, & Law School)have spiked in 1888",4,1686188580838,1,prolific/train-0-75149.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$4.5', 'question8': '$50.54', 'question9': '40.51 Mbps'}",603ee4c2bd61ee1a08fd6a8a,85521,Very Well,Wed Jun 07 2023 20:32:45 GMT-0500 (Central Daylight Time),1686187965206,10.2605333333333,History of Georgetown University,2,,10,21,Graph of student enrollment 1791—1888,"A line graph of years from 1791 to 1888 with three subjects, the first in blue representing the Academy and College rises up from 69 in 1791 to 333 at its peak in 1857 followed by sudden drop and leveling around 200. The second, in red, represents the Medical School and begins in 1851 quickly peaking at 127 and then falling again while the third, in yellow, represents the law school which begins in 1871 and steadily rises to 168.",116,5,87,0.41025641025641000,0.4697232246398930,0.6560356020927430,0.6250074505805970,1,1,0,1,1,1,1,1,1,0,1,1
13,Bootham Crescent / Records,first,,"The graph shows a downward trend in averages and highest league attendances. Highest attendance was around 20,000 between 1948-49 with corresponding average of 10,000. The lowest was in 2014-15 with highest attendance of 5000 and average lower than that at around 4000",5,1686616161940,1,prolific/train-0-62319.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 4', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'False', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6106d7d2f6211d383e4f634c,205445,Moderate,Mon Jun 12 2023 17:09:42 GMT-0700 (Pacific Daylight Time),1686614982064,19.6646,Bootham Crescent,0,Mon Jun 12 2023 17:29:21 GMT-0700 (Pacific Daylight Time),9,44,York City's highest and average league attendances at Bootham Crescent from the 1932–33 season,Graph showing the highest and average league attendances at the Bootham Crescent association football ground,268,15,15,0.4878048780487810,0.5626232624053960,0.6946691870689390,0.6745055317878720,1,1,0,1,1,1,0,1,1,0,1,1
14,Great Southern Group / Fall,first,,"This graph demonstrates a steady amount of net assets and total assets around 200,000 between 2000 and 2003. The total assets then increased with a steady amount from 200000 to 1800000 between 2004 to 2008. The net assets increase to 700,000 between 2004 to 2005 then plateaued until 2008",4,1686616161940,1,prolific/train-0-105181.jpg,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 4', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'False', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6106d7d2f6211d383e4f634c,197547,Moderate,Mon Jun 12 2023 17:09:42 GMT-0700 (Pacific Daylight Time),1686614982064,19.6646,Great Southern Group,1,Mon Jun 12 2023 17:29:21 GMT-0700 (Pacific Daylight Time),9,51,"Great Southern Group's assets. Net assets were ultimately limited by the company's ""unsustainable levels"" of debt.[4]","area graph with years on the x-axis, ranging from 1999 to 2008, and thousands of dollars on the y-axis. Two areas are shown: net assets climb until 2005 then stay at a similar level to 2008, below the 800 million dollar line; gross assets climb above net assets and are still increasing in 2008, where they are near the 1.8 billion dollar line",289,25,70,0.55,0.4432597756385800,0.7395232915878300,0.34356820583343500,1,1,0,1,1,1,0,1,1,0,1,1
15,Anatomy of an Epidemic / Synopsis / Magic bullets,first,,"This is a bar graph comparison between 5 groups of individuals in 1987 and 2003. The first group of individuals were SSDI recipients disabled by mental illness and showed 900,000 individuals in 1987 compared to 2,800,000 in 2003. Group 2 were SSI recipients with diagnosis of mental illness and in 1987 the number was around 2,500,000 and in 2003 it was 4,000,000. For Total number of SSI and SSDI payments to disabled mental illness individuals it was 3,100,000 in 1987 and 5,800,000 in 2003. For the number of SSDI recipients who also received SSI payments it was around 100,000 to 200,000 for both years. Lastly for total disabled mentally ill in 1987 it was 3,000,000 and 2003 it was 5,500,000.",4,1686616161940,1,prolific/train-0-29695.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 4', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'False', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6106d7d2f6211d383e4f634c,317097,Moderate,Mon Jun 12 2023 17:09:42 GMT-0700 (Pacific Daylight Time),1686614982064,19.6646,Anatomy of an Epidemic,2,Mon Jun 12 2023 17:29:21 GMT-0700 (Pacific Daylight Time),9,126,"Number of Americans who received SSDI and SSI for mental disability in 1987 (blue) when Eli Lilly and Company introduced the antidepressive drug Prozac, compared to 2003 (red).",Chart showing increase (in red) over baseline (in blue) between 1987 and 2003,698,34,17,0.7291666666666670,0.6450393199920650,0.20859554409980800,0.1799975037574770,1,1,0,1,1,1,0,1,1,0,1,1
16,Federal political financing in Canada / Private funding / Cost of fundraising,first,,A bar graph showing fundraising expenses in gray and subsidized contributions raised in blue. For each party the dollar amounts vary but the subsidized contributions are always higher.,2,1686616366624,1,prolific/train-0-14152.png,TRUE,English,"{'question1': 'False', 'question10': '$0.63', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': 'Skip', 'question8': '$50.54', 'question9': '40.51 Mbps'}",610920ffd1bcb464b707d4c8,68684,Well,Mon Jun 12 2023 20:22:11 GMT-0400 (Eastern Daylight Time),1686615731638,10.5831,Federal political financing in Canada,0,Mon Jun 12 2023 20:32:46 GMT-0400 (Eastern Daylight Time),9,30,Party-level fundraising costs vs. party-level contributions raised at top three Canadian federal parties in 2009 (source: Elections Canada[4]),Party-level fundraising costs vs. party-level contributions raised at top three Canadian federal parties in 2009,184,24,15,0.525,0.5294933319091800,0.5241519808769230,0.9773972630500790,1,0,0,1,1,1,1,1,1,0,1,1
17,Cloture / United States / Procedure,first,,"This is a graph showing the cloture motions filed, votes on cloture, and cloture invoked per year in the U.S. senate since 1917. The number of all three events increased over time.",3,1686616366624,1,prolific/train-0-76637.png,TRUE,English,"{'question1': 'False', 'question10': '$0.63', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': 'Skip', 'question8': '$50.54', 'question9': '40.51 Mbps'}",610920ffd1bcb464b707d4c8,74622,Well,Mon Jun 12 2023 20:22:11 GMT-0400 (Eastern Daylight Time),1686615731638,10.5831,Cloture,1,Mon Jun 12 2023 20:32:46 GMT-0400 (Eastern Daylight Time),9,36,"Cloture voting in the United States Senate , 1917−2014.[43]","Number of cloture motions filed, voted on, and invoked by the U.S. Senate, 1917−2014.",180,13,18,0.5641025641025640,0.6800386905670170,0.7576424479484560,0.7685588598251340,1,0,0,1,1,1,1,1,1,0,1,1
18,Nutaarmiut / Population,first,,This is a bar graph showing the change in Nutaarmiut population from 1991 to 2010.,5,1686616366624,1,prolific/train-0-89137.png,TRUE,English,"{'question1': 'False', 'question10': '$0.63', 'question11': '1 to 3', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': 'Skip', 'question8': '$50.54', 'question9': '40.51 Mbps'}",610920ffd1bcb464b707d4c8,64784,Well,Mon Jun 12 2023 20:22:11 GMT-0400 (Eastern Daylight Time),1686615731638,10.5831,Saqqaq,2,Mon Jun 12 2023 20:32:46 GMT-0400 (Eastern Daylight Time),9,16,Nutaarmiut population growth dynamics in the last two decades. Source: Statistics Greenland[2],Nutaarmiut population dynamics,83,17,3,0.6060606060606060,0.641383707523346,0.7057087421417240,0.7758365869522100,1,0,0,1,1,1,1,1,1,0,1,1
19,Great Southern Group / Fall,first,,The total assets and net assets values across the years,2,1686617159055,1,prolific/train-0-105181.jpg,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'Skip', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '35.2%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6482f94e03d469a7669bade6,85437,Moderate,Mon Jun 12 2023 20:33:46 GMT-0400 (Eastern Daylight Time),1686616426822,12.2038833333333,Great Southern Group,0,Mon Jun 12 2023 20:45:59 GMT-0400 (Eastern Daylight Time),9,10,"Great Southern Group's assets. Net assets were ultimately limited by the company's ""unsustainable levels"" of debt.[4]","area graph with years on the x-axis, ranging from 1999 to 2008, and thousands of dollars on the y-axis. Two areas are shown: net assets climb until 2005 then stay at a similar level to 2008, below the 800 million dollar line; gross assets climb above net assets and are still increasing in 2008, where they are near the 1.8 billion dollar line",55,25,70,0.4838709677419360,0.5050974488258360,0.6099755764007570,0.34356820583343500,1,1,0,0,1,1,1,0,1,1,1,1
20,Anatomy of an Epidemic / Synopsis / Magic bullets,first,,SSDI and SSI recipient in 1987 and 2003,3,1686617159055,1,prolific/train-0-29695.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'Skip', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '35.2%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6482f94e03d469a7669bade6,124470,Moderate,Mon Jun 12 2023 20:33:46 GMT-0400 (Eastern Daylight Time),1686616426822,12.2038833333333,Anatomy of an Epidemic,1,Mon Jun 12 2023 20:45:59 GMT-0400 (Eastern Daylight Time),9,8,"Number of Americans who received SSDI and SSI for mental disability in 1987 (blue) when Eli Lilly and Company introduced the antidepressive drug Prozac, compared to 2003 (red).",Chart showing increase (in red) over baseline (in blue) between 1987 and 2003,39,34,17,0.46511627906976700,0.5354586243629460,0.13249261677265200,0.1799975037574770,1,1,0,0,1,1,1,0,1,1,1,1
21,Nutaarmiut / Population,first,,"The growth of population, the last two decades in Nataarmiut",3,1686617159055,1,prolific/train-0-42178.png,TRUE,English,"{'question1': 'False', 'question10': '$0.71', 'question11': 'Skip', 'question12': 'Skip', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '35.2%', 'question6': 'Shanghai', 'question7': '$6.1', 'question8': '$50.54', 'question9': '40.51 Mbps'}",6482f94e03d469a7669bade6,66168,Moderate,Mon Jun 12 2023 20:33:46 GMT-0400 (Eastern Daylight Time),1686616426822,12.2038833333333,Nutaarmiut,2,Mon Jun 12 2023 20:45:59 GMT-0400 (Eastern Daylight Time),9,11,Nutaarmiut population growth dynamics in the last two decades. Source: Statistics Greenland[2],Nutaarmiut population dynamics,60,17,3,0.6333333333333330,0.701387882232666,0.6123389005661010,0.7758365869522100,1,1,0,0,1,1,1,0,1,1,1,1
22,History of Georgetown University / Early growth / Early student life,first,,"A graph with 3 lines for goergetown law, med and college admissions",3,1686617260699,1,prolific/train-0-75149.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",63b6cf1609c12f37f2cf0371,46625,Moderate,Mon Jun 12 2023 20:40:27 GMT-0400 (Eastern Daylight Time),1686616827704,7.21658333333333,History of Georgetown University,0,Mon Jun 12 2023 20:47:40 GMT-0400 (Eastern Daylight Time),11,13,Graph of student enrollment 1791—1888,"A line graph of years from 1791 to 1888 with three subjects, the first in blue representing the Academy and College rises up from 69 in 1791 to 333 at its peak in 1857 followed by sudden drop and leveling around 200. The second, in red, represents the Medical School and begins in 1851 quickly peaking at 127 and then falling again while the third, in yellow, represents the law school which begins in 1871 and steadily rises to 168.",67,5,87,0.5,0.586621105670929,0.5353109836578370,0.6250074505805970,1,1,1,1,1,1,1,1,1,0,1,1
23,Great Southern Group / Fall,first,,A graph showing total and net assets for great southern group,3,1686617260699,1,prolific/train-0-105181.jpg,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",63b6cf1609c12f37f2cf0371,31576,Moderate,Mon Jun 12 2023 20:40:27 GMT-0400 (Eastern Daylight Time),1686616827704,7.21658333333333,Great Southern Group,1,Mon Jun 12 2023 20:47:40 GMT-0400 (Eastern Daylight Time),11,11,"Great Southern Group's assets. Net assets were ultimately limited by the company's ""unsustainable levels"" of debt.[4]","area graph with years on the x-axis, ranging from 1999 to 2008, and thousands of dollars on the y-axis. Two areas are shown: net assets climb until 2005 then stay at a similar level to 2008, below the 800 million dollar line; gross assets climb above net assets and are still increasing in 2008, where they are near the 1.8 billion dollar line",61,25,70,0.5,0.6293274760246280,0.504707932472229,0.34356820583343500,1,1,1,1,1,1,1,1,1,0,1,1
24,Ernie Toshack with the Australian cricket team in England in 1948 / Role,first,,a bar graph from May to august on the X axis and batting performance on the Y axis,4,1686617260699,1,prolific/train-0-24640.png,TRUE,english,"{'question1': 'False', 'question10': '$0.71', 'question11': '1 to 2', 'question12': 'False', 'question2': 'Great Britain', 'question3': '30-40 km', 'question4': 'True', 'question5': '17.6%', 'question6': 'Shanghai', 'question7': '$5.2', 'question8': '$50.54', 'question9': '40.51 Mbps'}",63b6cf1609c12f37f2cf0371,59937,Moderate,Mon Jun 12 2023 20:40:27 GMT-0400 (Eastern Daylight Time),1686616827704,7.21658333333333,Ernie Toshack with the Australian cricket team in England in 1948,2,Mon Jun 12 2023 20:47:40 GMT-0400 (Eastern Daylight Time),11,18,"A chart showing Toshack's batting performance during the tour. The runs scored per innings are represented by the bars, with the red bars being Test innings and the pink bars being other first-class innings. The blue line is the average of the five most recent innings and the dots indicate not outs.[10]","Toshack started the season with five first-class innings outside the Tests, and all were less than 10 and four were less than five, none were not out. He then scored two scores between 15 and 20 in the Tests, with a score of four outside the Tests in between. After scores of 1 and zero not out in the next two tour matches, he scored 12 not out in his third and final Test innings. He then finished with two in a tour match. All of his efforts beyond ten were in Tests, and he passed ten in all three Test innings, two of these being not out.",82,60,119,0.5135135135135140,0.5896137952804570,0.310905396938324,0.6793749332427980,1,1,1,1,1,1,1,1,1,0,1,1
